843631317346672600, P 1 Brand Wegvervoer (Auto) , Tussendek Amsterdam [ 13GG02 13ASZ ] https://t.co/FqdT5PHrPu #p2000, 52.4139794, 4.9191612, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1489972354624, , , 
843636571610009600, I'm at Rivierenbuurt in Amsterdam, Noord-Holland https://t.co/LWge40QaTA, 52.34434099, 4.89669098, <a href="http://foursquare.com" rel="nofollow">Foursquare</a>, 255085161, nl, 1489973607338, , , 
843646763139522600, B1 13160 Rit 33104 Amsterdam Louwesweg 1066EC 6 SLV seh https://t.co/53yAM1NikC #p2000, 52.3471776, 4.8240178, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1489976037188, , , 
843651814977425400, @ Amsterdam https://t.co/w8aRqaDC9n, 52.37027443, 4.8899583, <a href="http://www.zorrotron.com" rel="nofollow">Zorrotron</a>, 702658749454889000, nl, 1489977241640, , , 
843659421909749800, #traveling #Amsterdam #wowhostel @ WOW Amsterdam https://t.co/vOL6kwQ1XU, 52.38223, 4.84337, <a href="http://instagram.com" rel="nofollow">Instagram</a>, 248445229, nl, 1489979055274, , , 
843674598864437200, 📈 Top 10 ⒼⓄⓄⒼⓁⒺ Trends over the past 24 hours:

➊ Go Ahead Eagles
➋ Miljoenenjacht
➌ Justin Kluivert

2017/3/20 05:04 CET, 52.3731, 4.8932, <a href="http://trendinalia.com" rel="nofollow">Trendinalia Netherlands</a>, 1166383453, nl, 1489982673742, , , 
843674601037021200, ➍ Excelsior Ajax
➎ Ajax Excelsior
➏ Excelsior
➐ Heerenveen Feyenoord
➑ Stevensloop
➒ Feyenoord
➓ Marathon Utrecht

2017/3/20 05:04 CET, 52.3731, 4.8932, <a href="http://trendinalia.com" rel="nofollow">Trendinalia Netherlands</a>, 1166383453, nl, 1489982674260, 843674598864437200, 1166383453, trendinaliaNL
843675701601603600, A1 13163 Rit 33112 Amsterdam Roelof Hartstraat 1071VK 40 https://t.co/laRDtzZzFr #p2000, 52.3523742, 4.8842481, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1489982936655, , , 
843677150062530600, B2 (Contact MKA: ) Amsterdam Nieuwezijds Voorburgwal 1012RD 35 Basisteam Centrum Burgwallen https://t.co/kyHzeIRsq4 #p2000, 52.3761231, 4.8935832, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1489983281995, , , 
843678555368316900, B1 (Contact MKA: ) 13160 Rit 33113 Amsterdam Nieuwezijds Voorburgwal 1012RD 35 Basisteam Centrum Burgwallen https://t.co/RfptReDhgm #p2000, 52.3761231, 4.8935832, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1489983617046, , , 
843682531870351400, #streetart #Amsterdam #NorthHolland #Netherlands #🇳🇱 @ Amsterdam Nieuw Zijde https://t.co/lOpcVbH5CY, 52.3725014, 4.9006801, <a href="http://instagram.com" rel="nofollow">Instagram</a>, 207410908, nl, 1489984565118, , , 
843683826849251300, A1 13110 Rit 33116 Amsterdam Hudsonstraat 1057RW 7 2 https://t.co/H4hPuQY0MK #p2000, 52.3650511, 4.8535866, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1489984873865, , , 
843688214368075800, Touchdown 🇳🇱 (@ Amsterdam Airport @Schiphol in Schiphol, Noord-Holland w/ @molly_______) https://t.co/TrAZoy5EjO, 52.30967516, 4.76297052, <a href="http://foursquare.com" rel="nofollow">Foursquare</a>, 3018059958, nl, 1489985919931, , , 
843688417619820500, A1 13163 Rit 33119 Amsterdam Emilie Knappertstraat 1066AE 46 th https://t.co/tanBFzjQzb #p2000, 52.3493764, 4.829284, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1489985968390, , , 
843689090017116200, Goedemorgen! Weer een nieuwe week.... (@ Home Sweet Home) https://t.co/ZSJhhee2Bl https://t.co/S9yTjT21Jj, 52.31181601, 4.65685913, <a href="http://foursquare.com" rel="nofollow">Foursquare</a>, 207606980, nl, 1489986128702, , , 
843689091992641500, Goedemorgen! Weer een nieuwe week.... (@ Home Sweet Home) https://t.co/ZSJhhee2Bl https://t.co/oXOZP3zXG0, 52.31181601, 4.65685913, <a href="http://foursquare.com" rel="nofollow">Foursquare</a>, 207606980, nl, 1489986129173, , , 
843689095146754000, Goedemorgen! Weer een nieuwe week.... (@ Home Sweet Home) https://t.co/ZSJhhee2Bl https://t.co/cDSFu9YBTb, 52.31181601, 4.65685913, <a href="http://foursquare.com" rel="nofollow">Foursquare</a>, 207606980, nl, 1489986129925, , , 
843689605866098700, De #julianabrug in #zaandam #zaandijk ging open om 06:02 en zal 4 minuten open zijn. Zie https://t.co/zCqSr3mrjr #brugopen, 52.471471, 4.813427, <a href="https://brugopen.nl" rel="nofollow">BrugOpen</a>, 3375579785, nl, 1489986251690, , , 
843690244390113300, Taxi nodig in Zwanenburg,Halfweg  Haarlem-waarderpolder,en/of A'dam-Sloterdijk? Tostaxi staat… https://t.co/GPUsX5gKGI, 52.389167, 4.838056, <a href="http://instagram.com" rel="nofollow">Instagram</a>, 217533354, nl, 1489986403926, , , 
843690839075438600, De #julianabrug in #zaandam #zaandijk is weer dicht. Zie https://t.co/zCqSr3mrjr #brugopen, 52.471471, 4.813427, <a href="https://brugopen.nl" rel="nofollow">BrugOpen</a>, 3375579785, nl, 1489986545710, 843689605866098700, 3375579785, OpenBrug
843693937223237600, File op A1 Stilstaand verkeer #A1 #A1_STR #file #fileleed #verkeer https://t.co/QS2l11MPOm, 52.17316, 5.63679, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489987284366, , , 
843693952289165300, File op A50 Stilstaand verkeer #A50 #A50_HET #file #fileleed #verkeer https://t.co/myr5oR4SZN, 51.91655, 5.77198, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489987287958, , , 
843694370884931600, De #julianabrug in #zaandam #zaandijk ging open om 06:21 en zal 4 minuten open zijn. Zie https://t.co/zCqSr3mrjr #brugopen, 52.471471, 4.813427, <a href="https://brugopen.nl" rel="nofollow">BrugOpen</a>, 3375579785, nl, 1489987387759, , , 
843694870623649800, #ICDirect 1012 (V 6:38 van Amsterdam Airport) naar Rotterdam Centraal rijdt vandaag niet. #fail Geld terug? Zie https://t.co/wQfqoWMoGC, 52.30944443, 4.76194429, <a href="https://sites.google.com/site/failrahsl/" rel="nofollow">FailraBot</a>, 278708054, nl, 1489987506906, , , 
843694872221630500, #ICDirect 1012 (V 6:22 van Amsterdam) naar Rotterdam Centraal is 30 minuten vertraagd. #fail Geld terug? Zie https://t.co/wQfqoWMoGC, 52.37888718, 4.90027761, <a href="https://sites.google.com/site/failrahsl/" rel="nofollow">FailraBot</a>, 278708054, nl, 1489987507287, , , 
843695118859296800, De #julianabrug in #zaandam #zaandijk is weer dicht. Zie https://t.co/zCqSr3mrjr #brugopen, 52.471471, 4.813427, <a href="https://brugopen.nl" rel="nofollow">BrugOpen</a>, 3375579785, nl, 1489987566090, 843694370884931600, 3375579785, OpenBrug
843696352068558800, Goeiemorgen 😴 (@ Lisa's kamer 💁🏻) https://t.co/J9JCHVNpAs, 50.78637107, 3.19517779, <a href="http://foursquare.com" rel="nofollow">Foursquare</a>, 3084811985, nl, 1489987860110, , , 
843696453331705900, File op A15 Stilstaand verkeer #A15 #A15_OCH #file #fileleed #verkeer https://t.co/Y2ZbkaiLFU, 51.91491, 5.49092, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489987884253, , , 
843697718434418700, File op A15 Langzaam rijdend tot stilstaand verkeer #A15 #A15_HEI #file #fileleed #verkeer https://t.co/Y6UkbCi6LU, 51.87352, 4.41086, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489988185877, , , 
843697737447231500, File op A15 Stilstaand verkeer #A15 #A15_ARK #file #fileleed #verkeer https://t.co/WGJFIB3Kik, 51.84643, 4.95754, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489988190410, , , 
843698722177536000, A1 13102 Rit 33121 Amsterdam Oogststraat 1097ZS 89 https://t.co/BP9VXPE2rU #p2000, 52.3394854, 4.9425303, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1489988425188, , , 
843698973407952900, File op A28 Stilstaand verkeer #A28 #A28_STR #file #fileleed #verkeer https://t.co/4pyMPktIDe, 52.29715, 5.55288, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489988485086, , , 
843698991825109000, File op A27 Langzaam rijdend tot stilstaand verkeer #A27 #A27_GEE #file #fileleed #verkeer https://t.co/GyCh86vrZK, 51.72488, 4.89328, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489988489477, , , 
843699007201464300, File op A12 Stilstaand verkeer #A12 #A12_EMM #file #fileleed #verkeer https://t.co/1fQzL7nvvR, 51.90533, 6.15831, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489988493143, , , 
843699024276459500, File op A2 Langzaam rijdend tot stilstaand verkeer #A2 #A2_VEG #file #fileleed #verkeer https://t.co/rjddpPmLNv, 51.69827, 5.35199, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489988497214, , , 
843700236228923400, File op A6 Langzaam rijdend tot stilstaand verkeer #A6 #A6_ALM #file #fileleed #verkeer https://t.co/XPitPO8twJ, 52.36675, 5.28169, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489988786166, , , 
843700251240419300, File op A12 Stilstaand verkeer #A12 #A12_VEL #file #fileleed #verkeer https://t.co/UgPMERbKe6, 51.98476, 5.9697, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489988789745, , , 
843700479691542500, GM! Op tefaf_art_fair bijj Galerie Boulakia kwam ik een schilderij 'Trance de Melon" tegen die… https://t.co/73pb4aKu1r, 52.3731, 4.8922, <a href="http://instagram.com" rel="nofollow">Instagram</a>, 2701228098, nl, 1489988844212, , , 
843700516261695500, Raar weer (@ Elspeterbospark in Hoofddorp, Noord-Holland) https://t.co/bF0thtYq0X https://t.co/l2L0Q0EYAp, 52.3118551, 4.65684894, <a href="http://foursquare.com" rel="nofollow">Foursquare</a>, 207606980, nl, 1489988852931, , , 
843700518929293300, Raar weer (@ Elspeterbospark in Hoofddorp, Noord-Holland) https://t.co/bF0thtYq0X https://t.co/fp31yVXGwL, 52.3118551, 4.65684894, <a href="http://foursquare.com" rel="nofollow">Foursquare</a>, 207606980, nl, 1489988853567, , , 
843701178164793300, Weer op mijn werk (@ Bakkersland in Hedel, Gelderland) https://t.co/fHzKaQ5nYR, 51.7570834, 5.26403087, <a href="http://foursquare.com" rel="nofollow">Foursquare</a>, 46854545, nl, 1489989010741, , , 
843701492355948500, File op A27 Stilstaand verkeer #A27 #A27_EEM #file #fileleed #verkeer https://t.co/4fBkKqm95A, 52.23586, 5.24305, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489989085650, , , 
843701510345232400, File op A27 Stilstaand verkeer #A27 #A27_OOS #file #fileleed #verkeer https://t.co/OiKyOjduOG, 51.68799, 4.88417, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489989089939, , , 
843701525188919300, File op A28 Stilstaand verkeer #A28 #A28_ERM #file #fileleed #verkeer https://t.co/KQYnIAxwuw, 52.32829, 5.58166, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489989093478, , , 
843701541823569900, File op A2 Stilstaand verkeer #A2 #A2_HIN #file #fileleed #verkeer https://t.co/8hLjxRMp1c, 51.71419, 5.34023, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489989097444, , , 
843701797625757700, Wet plate workshop day 2 raykophotocenter @ Rayko Photo Center https://t.co/W1EEuk6B1s, 37.78201757, -122.39725663, <a href="http://instagram.com" rel="nofollow">Instagram</a>, 44112452, nl, 1489989158432, , , 
843702751745982500, File op A27 Stilstaand verkeer #A27 #A27_HOO #file #fileleed #verkeer https://t.co/M8Of1Y863g, 51.69514, 4.88638, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489989385912, , , 
843703049814261800, #ICDirect 1007 (V 7:28 van Rotterdam) naar Amsterdam Centraal rijdt vandaag niet. #fail Geld terug? Zie https://t.co/wQfqoWMoGC, 51.92499924, 4.46888876, <a href="https://sites.google.com/site/failrahsl/" rel="nofollow">FailraBot</a>, 278708054, nl, 1489989456977, , , 
843704021126930400, File op A27 Stilstaand verkeer #A27 #A27_ALM #file #fileleed #verkeer https://t.co/1z8PQDhQ6Z, 52.28056, 5.2693, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489989688556, , , 
843704036910157800, File op A50 Stilstaand verkeer #A50 #A50_GRI #file #fileleed #verkeer https://t.co/A3LNlISkXN, 51.99893, 5.79757, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489989692319, , , 
843704055495114800, File op A15 Stilstaand verkeer #A15 #A15_VAA #file #fileleed #verkeer https://t.co/UzTU1MohDQ, 51.86578, 4.44995, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489989696750, , , 
843704150034735100, A2 13110 Rit 33122 Amsterdam Orlyplein 1043DT 99 Station Amsterdam Sloterdijk https://t.co/owXniTwsbR #p2000, 52.3886994, 4.8370492, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1489989719290, , , 
843705207242571800, 🇳🇱 #iamamsterdam #slamtype #netherlands #rijksmuseum @ Rijksmuseum https://t.co/VDqnKlDeT2, 52.35995, 4.8853799, <a href="http://instagram.com" rel="nofollow">Instagram</a>, 96873439, nl, 1489989971348, , , 
843705266898178000, File op A15 Stilstaand verkeer #A15 #A15_DTD #file #fileleed #verkeer https://t.co/IqzD6SIGwj, 51.91517, 5.49149, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489989985571, , , 
843705283964780500, File op A73 Stilstaand verkeer #A73 #A73_MAL #file #fileleed #verkeer https://t.co/KvPLmHF21h, 51.78227, 5.83059, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489989989640, , , 
843705299726995500, File op A1 Stilstaand verkeer #A1 #A1_KOO #file #fileleed #verkeer https://t.co/Uj9Iit3Xvr, 52.19659, 5.75274, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489989993398, , , 
843705319574376400, File op A29 Zware regenval. Langzaam rijdend tot stilstaand verkeer #A29 #A29_NUM #file #fileleed #verkeer https://t.co/UZLeYrAM2O, 51.77161, 4.42207, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489989998130, , , 
843705481701023700, Had liever een juichende Vilhena gezien, maar een zure schoonmaker is óók leuk! https://t.co/FkoDry44RY https://t.co/8s0ogXcRds, 52.31181601, 4.65688854, <a href="http://foursquare.com" rel="nofollow">Foursquare</a>, 207606980, nl, 1489990036784, , , 
843705486818103300, Had liever een juichende Vilhena gezien, maar een zure schoonmaker is óók leuk! https://t.co/FkoDry44RY https://t.co/nIEThGmBJ9, 52.31181601, 4.65688854, <a href="http://foursquare.com" rel="nofollow">Foursquare</a>, 207606980, nl, 1489990038004, , , 
843705490026741800, Had liever een juichende Vilhena gezien, maar een zure schoonmaker is óók leuk! https://t.co/FkoDry44RY https://t.co/r0SMB0GOF0, 52.31181601, 4.65688854, <a href="http://foursquare.com" rel="nofollow">Foursquare</a>, 207606980, nl, 1489990038769, , , 
843705493424148500, Had liever een juichende Vilhena gezien, maar een zure schoonmaker is óók leuk! https://t.co/FkoDry44RY https://t.co/Qd5rhMg0wj, 52.31181601, 4.65688854, <a href="http://foursquare.com" rel="nofollow">Foursquare</a>, 207606980, nl, 1489990039579, , , 
843706519048872000, File op A27 Langzaam rijdend tot stilstaand verkeer #A27 #A27_NKM #file #fileleed #verkeer https://t.co/2qyH4xShsO, 52.3445, 5.34289, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489990284107, , , 
843706535008223200, File op A58 Stilstaand verkeer #A58 #A58_TIL #file #fileleed #verkeer https://t.co/JoUYcVsYcn, 51.54008, 5.03827, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489990287912, , , 
843706550736896000, File op A17 Stilstaand verkeer #A17 #A17_ZEV #file #fileleed #verkeer https://t.co/mYSlXd3fkU, 51.66798, 4.59922, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489990291662, , , 
843706568063565800, File op A58 Stilstaand verkeer #A58 #A58_HKQ #file #fileleed #verkeer https://t.co/7r0RSAdbWM, 51.5585, 4.88954, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489990295793, , , 
843706583565713400, File op A2 Stilstaand verkeer #A2 #A2_ROS #file #fileleed #verkeer https://t.co/xTOTxCSST8, 51.72695, 5.31968, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489990299489, , , 
843706599290146800, File op A50 Stilstaand verkeer #A50 #A50_VAL #file #fileleed #verkeer https://t.co/J4TRN5Y3je, 51.86395, 5.71824, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489990303238, , , 
843706919206506500, Op het werk (@ Atlas Copco Airpower - @meetatlascopco in Wilrijk, Antwerpen) https://t.co/V7HYe7fvbv, 51.15122383, 4.38374684, <a href="http://foursquare.com" rel="nofollow">Foursquare</a>, 829551937, nl, 1489990379512, , , 
843707784344551400, File op A4 Stilstaand verkeer #A4 #A4_DEN #file #fileleed #verkeer https://t.co/f5I73T0H1h, 52.00199, 4.31185, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489990585777, , , 
843707799095988200, File op A1 Stilstaand verkeer #A1 #A1_KKB #file #fileleed #verkeer https://t.co/MS0yb6EMks, 52.19818, 5.76722, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489990589294, , , 
843707815021678600, File op A4 Stilstaand verkeer #A4 #A4_YPE #file #fileleed #verkeer https://t.co/0X6yBWyDlx, 52.05104, 4.36264, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489990593091, , , 
843707832230985700, File op A12 Stilstaand verkeer #A12 #A12_GOU #file #fileleed #verkeer https://t.co/0n68DHTWov, 52.0424, 4.70911, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489990597194, , , 
843708275556270100, Mjomjom ik krijg trek van de reclames. (@ Bushalte Wijkermeerstraat) https://t.co/HKHnsLOWIB https://t.co/L5bGbPWRVf, 52.31160101, 4.7009481, <a href="http://foursquare.com" rel="nofollow">Foursquare</a>, 126396393, nl, 1489990702891, , , 
843708277833846800, Mjomjom ik krijg trek van de reclames. (@ Bushalte Wijkermeerstraat) https://t.co/HKHnsLOWIB https://t.co/Ojx0kuShDk, 52.31160101, 4.7009481, <a href="http://foursquare.com" rel="nofollow">Foursquare</a>, 126396393, nl, 1489990703434, , , 
843708279805100000, Mjomjom ik krijg trek van de reclames. (@ Bushalte Wijkermeerstraat) https://t.co/HKHnsLOWIB https://t.co/3AOYzSDt2f, 52.31160101, 4.7009481, <a href="http://foursquare.com" rel="nofollow">Foursquare</a>, 126396393, nl, 1489990703904, , , 
843709051431243800, File op A29 Stilstaand verkeer #A29 #A29_WIL #file #fileleed #verkeer https://t.co/G4ijrq2bTU, 51.69291, 4.402, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489990887874, , , 
843709067105308700, File op A59 Stilstaand verkeer #A59 #A59_DRU #file #fileleed #verkeer https://t.co/1ymPbyAe9X, 51.69291, 5.11096, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489990891611, , , 
843709083135959000, File op A12 Langzaam rijdend tot stilstaand verkeer #A12 #A12_OUD #file #fileleed #verkeer https://t.co/o13Fq70I22, 51.91602, 6.1369, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489990895433, , , 
843709098831110100, File op A28 Stilstaand verkeer #A28 #A28_LQR #file #fileleed #verkeer https://t.co/OHIggvsMtl, 52.33136, 5.59221, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489990899175, , , 
843709117814530000, File op A20 Stilstaand verkeer #A20 #A20_LBW #file #fileleed #verkeer https://t.co/XehLQbBynP, 51.96055, 4.57532, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489990903701, , , 
843709341496676400, #ICDirect 1007 (V 7:55 van Amsterdam Airport) naar Amsterdam Centraal rijdt vandaag niet. #fail Geld terug? Zie https://t.co/wQfqoWMoGC, 52.30944443, 4.76194429, <a href="https://sites.google.com/site/failrahsl/" rel="nofollow">FailraBot</a>, 278708054, nl, 1489990957031, , , 
843710319180595200, A1 13109 Rit 33124 Amsterdam Troelstralaan 1067MX 399 https://t.co/hfLPEXj2RM #p2000, 52.3763993, 4.8022643, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1489991190129, , , 
843710323769131000, File op A73 Stilstaand verkeer #A73 #A73_KKG #file #fileleed #verkeer https://t.co/YxC7hZQ0iz, 51.77724, 5.83586, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489991191223, , , 
843710349044056000, File op A16 Langzaam rijdend tot stilstaand verkeer #A16 #A16_BRE #file #fileleed #verkeer https://t.co/NaJVywSLj6, 51.63874, 4.69722, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489991197249, , , 
843710374817992700, File op A1 Stilstaand verkeer #A1 #A1_JPK #file #fileleed #verkeer https://t.co/JdmoEqwBwD, 52.18652, 5.67841, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489991203394, , , 
843710397005905900, File op A17 Stilstaand verkeer #A17 #A17_IND #file #fileleed #verkeer https://t.co/fGZcjclDfR, 51.67616, 4.61712, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489991208684, , , 
843710416064864300, Training met de Kata Commissie Judo Zuid-Nederland in Eindhoven o.l.v. Roger Reniers.
Thema:… https://t.co/pVj7KDjNDd, 51.41093, 5.47923, <a href="http://instagram.com" rel="nofollow">Instagram</a>, 126275400, nl, 1489991213228, , , 
843710420938645500, File op A16 Stilstaand verkeer #A16 #A16_HEN #file #fileleed #verkeer https://t.co/NavQspkV1m, 51.85745, 4.59723, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489991214390, , , 
843710424038031400, Trend Alert: 'Bijna 90'. More trends at https://t.co/tOVVBU3TJP #trndnl https://t.co/2QKFF0nQs9, 52.3731, 4.8932, <a href="http://trendinalia.com" rel="nofollow">Trendinalia Netherlands</a>, 1166383453, nl, 1489991215129, , , 
843711152714584000, @RPlasterk zou het niet beter zijn om bij de SP aan te sluiten? Hebben, dacht ik, meer raakvlakken met PvdA dacht i… https://t.co/7sF02OAyAn, 52.53454012, 5.72147059, <a href="http://tapbots.com/tweetbot" rel="nofollow">Tweetbot for iΟS</a>, 321308001, nl, 1489991388859, , 529285233, RPlasterk
843711583679381500, File op A1 Langzaam rijdend tot stilstaand verkeer #A1 #A1_BAT #file #fileleed #verkeer https://t.co/FuqS2K5Y7l, 52.23845, 6.23962, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489991491609, , , 
843711604617330700, File op A16 Langzaam rijdend tot stilstaand verkeer #A16 #A16_IMT #file #fileleed #verkeer https://t.co/rTKvE99LW1, 51.60896, 4.71804, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1489991496601, , , 
