id,text,geo1,geo2,party,Region
8.39129E+017, File op A2 Stilstaand verkeer #A2 #A2_JNK #file #fileleed #verkeer https://t.co/RMXCi0W3qW,51.70809,5.34599,1,1
8.3913E+017, I'm at Flugel Nederland in Capelle ad IJssel  ZH https://t.co/AkeIx5sVc1,51.96349614,4.585446,2,2
8.3913E+017, #Egaylity -  GGZ Nederland: Zorg bezwijkt onder regeldruk - Vinkjes zetten totdat je arm pijn doet: de regeldruk in… https://t.co/0DVfnvvggY,52.37722611,4.89824219,3,3
8.3913E+017, #Egaylity -  Hoeveel eiwitten heb je dagelijks nodig? - Eiwitten zijn samengesteld uit bouwstenen. Die worden… https://t.co/oQ4tPmvcHP,52.37722611,4.89824219,4,4
8.3913E+017, NL |  Terug diepere genderkloof  vrouwenrechten onder druk - Als gelijkheid op dergelijke manier terug… https://t.co/Mv3MCcwBFC,52.39398971,4.88725586,5,1
8.3913E+017, NL |  Het effect van armoede op de ontwikkeling van de hersenen - Tegen hoeveel factoren moeten mensen in armoede… https://t.co/IU0R6jnMBD,52.39398971,4.88725586,6,2
8.3913E+017, NL |  Homo  moslim en boze burger Abdellah Taïa strijdt tegen de clichés - Abdellah Taïa is een Marokkaanse… https://t.co/1CGgBTEa4t,52.39398971,4.88725586,7,3
8.3913E+017, #Egaylity -  GGZ Nederland: Zorg bezwijkt onder regeldruk - Vinkjes zetten totdat je arm pijn doet: de regeldruk in… https://t.co/KVmk6O03aO,52.44168021,4.90868926,8,4
8.3913E+017, #Egaylity -  Hoeveel eiwitten heb je dagelijks nodig? - Eiwitten zijn samengesteld uit bouwstenen. Die worden… https://t.co/gkgZ3sOC2g,52.44168021,4.90868926,9,1
8.3913E+017, #Egaylity -  GGZ Nederland: Zorg bezwijkt onder regeldruk - Vinkjes zetten totdat je arm pijn doet: de regeldruk in… https://t.co/6oQ3HOuawZ,52.37722611,4.89824219,10,2
8.3913E+017, #Egaylity -  Hoeveel eiwitten heb je dagelijks nodig? - Eiwitten zijn samengesteld uit bouwstenen. Die worden… https://t.co/sl6srnNBfQ,52.37722611,4.89824219,1,3
8.39131E+017, File op A12 Stilstaand verkeer #A12 #A12_BGI #file #fileleed #verkeer https://t.co/7chFZriNOI,52.07476,5.01888,2,4
8.39131E+017, B1 13407 Rit 28108 Amsterdam Oosterpark 1091AC 9 OLVGO rontgen https://t.co/JlZ6saGnT5 #p2000,52.3591188,4.916442,3,1
8.39131E+017, #Overig Consultant SAP PPM - Voor de UVA zijn wij op zoek naar een Consultant SAP PPM. Omschrijving opdracht/werk... https://t.co/2KwuCtiHUi,52.37403,4.88969,4,2
8.39131E+017, Onze Chocolatiers zijn druk bezig met de voorbereidingen voor de Pasen! Wilt u ze aan het werk… https://t.co/HFqvpqGEUF,52.1295,5.2061,5,3
8.39131E+017, Raden welke huisgenoot vorige maand op de website van de Televaag stond. @ De Telegraaf https://t.co/jdF0En0AzH,52.39233,4.83291,6,4
8.39133E+017, P 1 Brand Woning   Amazonenstraat 59 2 Amsterdam [ 13ALD 13GG06 13ASD 13ASW ] https://t.co/0m19dbthiU #p2000,52.344954,4.8604475,7,1
8.39133E+017, #Overig Projectleider informatievoorziening - Rowica is voor een klant van haar  de gemeente Amsterdam  op zoek n... https://t.co/cdsejwUBRK,52.37403,4.88969,8,2
8.39133E+017, #ICDirect 939 (V 16:07 van Amsterdam Airport) naar Amsterdam Centraal is nu 15 minuten vertraagd. Geld terug? Zie https://t.co/wQfqoWMoGC,52.30944443,4.76194429,9,3
8.39134E+017, It takes an island to raise a child  inspirerende opvoedconferentie Caribisch Nederland op Bonaire. Hoe te komen tot inclusieve eilanden?,12.1377676,-68.2697883,10,4
8.39134E+017, #ElMejorPaisDelMundo 🇳🇱 @ Amsterdam  Netherlands https://t.co/Q1XyfZfP4S,52.3731,4.8922,2,1
8.39134E+017, P 1 Brandgerucht   Pakingehof 1 Amsterdam [ 13GG08 13AST ] https://t.co/POZaz4CZJV #p2000,52.3580538,4.7906777,3,2
8.39134E+017, I'm at Station Amsterdam Zuid in Amsterdam  Noord-Holland https://t.co/FDiF00UcLO,52.33899357,4.87333872,4,3
8.39134E+017, File op A15 Stilstaand verkeer #A15 #A15_HEN #file #fileleed #verkeer https://t.co/edFbjNbdQm,51.85742,4.64794,5,4
8.39135E+017, File op A1 Langzaam rijdend tot stilstaand verkeer #A1 #A1_NAA #file #fileleed #verkeer https://t.co/3yjqtUci4e,52.26783,5.20256,6,1
8.39135E+017, College nummer 5 #verzekeringsrecht (@ UvA Amsterdam Business School - @bedrijfskunde) https://t.co/r3jFh38Ukt https://t.co/dITqE9wY4g,52.3649178,4.9112947,7,2
8.39135E+017, A1 13107 Rit 28111 Amsterdam De Ruijterkade 1011AC 128 https://t.co/E1VmzXofZG #p2000,52.3774953,4.9081952,8,3
8.39136E+017, #HALFWEGNH #KEN | Ongeval Materieel A200 R Halfweg | https://t.co/HpxvOaWwI8,52.386684,4.730014,9,4
8.39136E+017, #laser_gun A44 hmp 3.2 - A44 hmp 3.2,52.2304,4.6155,10,1
8.39136E+017, #alarm Ongeval Materieel A200 R Halfweg - N200  1165 Halfweg  Netherlands,52.383847,4.7540551,11,2
8.39136E+017, De #julianabrug in #zaandam #zaandijk ging open om 16:28 en zal 4 minuten open zijn. Zie https://t.co/zCqSr3mrjr #brugopen,52.471471,4.813427,2,3
8.39137E+017, Ik pak nog een halte ben in de metro #IkDoeNietAlsOf #Love #CashCity @ Nieuwmarkt metro station https://t.co/w1DHj9620l,52.371944,4.901111,3,4
8.39137E+017, Meer ruimte  bokszakken eindelijk verplaatst naar het midden van de ruimte. Gisteren een drietal… https://t.co/WSuKB1VUpr,52.34809331,4.89995328,4,1
8.39137E+017, AMSTERDAM: Ivm overval Jan v Galenstraat op zoek naar man  donkere jas  blauwgroene trainingsbroek en blauwgrijz https://t.co/hBBO0KYJEO,52.37496934,4.86188518,2,2
