id,tag,lat,long,tweet
837603347645534200,vvd, 52.3, 4.7, Hoi lieve mensen  ik heb voor iedereen die het nodig heeft deze afbeelding geladen met helende… https://t.co/o3ddfWzOAF
837603347645534200,d66, 52.3, 4.7, Hoi lieve mensen  ik heb voor iedereen die het nodig heeft deze afbeelding geladen met helende… https://t.co/o3ddfWzOAF
837611056809771000,vvd, 52.3731, 4.8922, Do you know about Hidden treasures around  I found this so cute! so I shared on the app SALEAPP.… https://t.co/vVdGbAX7Hz
837655387759333400,d66, 52.3042326, 4.7491698, @derickr @D66 ik zou zeggen @KeesVee maar wellicht zijn er ook nog andere kandidaten?
837679530189996000,sp, 52.37886324, 4.89953724, And another day to (sp)end gigging in #amsterdamSo another building to show  before going for… https://t.co/0zrMfFgwDB
837692805061443600,sp, 52.20237294, 4.87569809, Het laatste stukje Appelbrood (gisteren gebakken) te lekker weer! Wil je het receptje? Link in… https://t.co/kjQf2skvJl
837703128795394000,vvd, 52.37722611, 4.89824219, #Egaylity -  365 dagen met vlees - Deze week ging de zesde editie van Dagen zonder Vlees van start. Door mensen aan… https://t.co/4B5UWrNJdH
837703128795394000,d66, 52.37722611, 4.89824219, #Egaylity -  365 dagen met vlees - Deze week ging de zesde editie van Dagen zonder Vlees van start. Door mensen aan… https://t.co/4B5UWrNJdH
837703161544499200,vvd, 52.44168021, 4.90868926, #Egaylity -  365 dagen met vlees - Deze week ging de zesde editie van Dagen zonder Vlees van start. Door mensen aan… https://t.co/xLIcLfBYni
837703161544499200,d66, 52.44168021, 4.90868926, #Egaylity -  365 dagen met vlees - Deze week ging de zesde editie van Dagen zonder Vlees van start. Door mensen aan… https://t.co/xLIcLfBYni
837703168947445800,d66, 52.37722611, 4.89824219, #Egaylity -  365 dagen met vlees - Deze week ging de zesde editie van Dagen zonder Vlees van start. Door mensen aan… https://t.co/LWuQMSxJmq
837703168947445800,vvd, 52.37722611, 4.89824219, #Egaylity -  365 dagen met vlees - Deze week ging de zesde editie van Dagen zonder Vlees van start. Door mensen aan… https://t.co/LWuQMSxJmq
837713329099423700,vvd, 52.39398971, 4.88725586, NL |  365 dagen met vlees - Deze week ging de zesde editie van Dagen zonder Vlees van start. Door mensen aan te… https://t.co/FxzcPsSXES
837713329099423700,d66, 52.39398971, 4.88725586, NL |  365 dagen met vlees - Deze week ging de zesde editie van Dagen zonder Vlees van start. Door mensen aan te… https://t.co/FxzcPsSXES
837742435933503500,d66, 52.3836967, 4.8721767, Het (oud)-raadsleden diner van #D66Bijpraten en daarna weer campagne! @ Mét Smaak https://t.co/di6ZiS15HM
837766343520845800,vvd, 52.3591188, 4.916442, P 1 Reanimatie (13GG02) Kastanjeweg   Oosterpark Amsterdam [ 13VVD ] https://t.co/hmojrQT7xV #p2000
837768819451945000,cu, 52.3731, 4.8922, Zo deden we dat. @gertjansegers plakken op  de verkiezingsborden. In Noord en centrum.… https://t.co/C3egh2kRLZ
837778619586003000,vvd, 52.45336378, 4.9663591, Brugwachters @ProvincieNH : allemaal flex. Bestuur NH: VVD  CDA  D66 en PvdA. #Nieuwsuur
837778619586003000,pvda, 52.45336378, 4.9663591, Brugwachters @ProvincieNH : allemaal flex. Bestuur NH: VVD  CDA  D66 en PvdA. #Nieuwsuur
837778619586003000,cda, 52.45336378, 4.9663591, Brugwachters @ProvincieNH : allemaal flex. Bestuur NH: VVD  CDA  D66 en PvdA. #Nieuwsuur
837778619586003000,d66, 52.45336378, 4.9663591, Brugwachters @ProvincieNH : allemaal flex. Bestuur NH: VVD  CDA  D66 en PvdA. #Nieuwsuur
837780482892906500,pvda, 52.45351432, 4.96647151, @GrasYvonne nee nu nog Asschertijd :-)
837783778856685600,pvda, 52.45324187, 4.96660631, @HenkvanBerkum @Nieuwsuur in defensief gedwongen Asscher
837788604835352600,sgp, 52.45351909, 4.96648188, @ArjenRonner daar leest Van der Staaij het nieuws
837853609974980600,pvv, 52.3, 4.7, And of course we do love ❤️️roses and especially #davidaustin  #roses🌹 @ Haarlemmermeer … https://t.co/gLMpVvEtDf
